PID   USER     TIME   COMMAND
    1 root       0:00 init
    2 root       0:00 [kthreadd]
    3 root       0:00 [ksoftirqd/0]
    5 root       0:00 [kworker/0:0H]
    6 root       0:00 [kworker/u4:0]
    7 root       0:00 [rcu_sched]
    8 root       0:00 [rcu_bh]
    9 root       0:00 [migration/0]
   10 root       0:00 [lru-add-drain]
   11 root       0:00 [cpuhp/0]
   12 root       0:00 [cpuhp/1]
   13 root       0:00 [migration/1]
   14 root       0:00 [ksoftirqd/1]
   16 root       0:00 [kworker/1:0H]
   17 root       0:00 [kdevtmpfs]
   18 root       0:00 [oom_reaper]
   19 root       0:00 [writeback]
   20 root       0:00 [kcompactd0]
   21 root       0:00 [crypto]
   22 root       0:00 [bioset]
   23 root       0:00 [kblockd]
   24 root       0:00 [spi0]
   25 root       0:00 [spi1]
   26 root       0:00 [kworker/0:1]
   27 root       0:00 [spi2]
   28 root       0:00 [cfg80211]
   29 root       0:00 [rpciod]
   30 root       0:00 [xprtiod]
   31 root       0:00 [kswapd0]
   32 root       0:00 [vmstat]
   33 root       0:00 [nfsiod]
   58 root       0:00 [bioset]
   59 root       0:00 [bioset]
   60 root       0:00 [bioset]
   61 root       0:00 [bioset]
   62 root       0:00 [bioset]
   63 root       0:00 [bioset]
   64 root       0:00 [bioset]
   65 root       0:00 [bioset]
